workload,strategy,seed,total_tokens,wallclock_s,aborts
plan_execute,vanilla,20,1072,5.080898300999252,0
plan_execute,vanilla,21,1084,5.291862884998409,0
plan_execute,vanilla,22,1116,5.487060653998924,0
plan_execute,vanilla,23,1313,5.6931916719986475,0
plan_execute,vanilla,24,1097,6.14969092300089,0
plan_execute,vanilla,25,1240,6.903177352000057,0
plan_execute,vanilla,26,1165,7.31356070000038,0
plan_execute,vanilla,27,1020,5.601202284000465,0
plan_execute,vanilla,28,921,4.760121053997864,0
plan_execute,vanilla,29,1142,5.080886416002613,0
plan_execute,pessimistic,0,1263,28.625177333000465,0
plan_execute,pessimistic,1,1126,7.124369003999163,1
plan_execute,pessimistic,2,1116,5.459611842998129,0
plan_execute,pessimistic,3,1077,5.0615677690002485,0
plan_execute,pessimistic,4,1124,5.546230755000579,0
plan_execute,pessimistic,5,997,5.123417349997908,0
plan_execute,pessimistic,6,998,35.14191217000189,0
plan_execute,pessimistic,7,1059,4.795407345998683,0
plan_execute,pessimistic,8,1253,6.388261492000311,0
plan_execute,pessimistic,9,1280,5.834491857000103,0
plan_execute,pessimistic,10,1084,5.525785874000576,0
plan_execute,pessimistic,11,1161,6.335534062996885,0
plan_execute,pessimistic,12,1007,4.46529510000255,0
plan_execute,pessimistic,13,1114,5.90432993200011,0
plan_execute,pessimistic,14,1038,6.149894649999624,1
plan_execute,pessimistic,15,1182,5.306415195002046,0
plan_execute,pessimistic,16,1185,4.953796614001476,0
plan_execute,pessimistic,17,1004,5.145175722998829,0
plan_execute,pessimistic,18,935,6.506159811000543,1
plan_execute,pessimistic,19,1109,5.291088606998528,0
plan_execute,pessimistic,20,1068,6.922495018996415,0
plan_execute,pessimistic,21,865,6.474286229000427,1
plan_execute,pessimistic,22,947,5.737435180999455,0
plan_execute,pessimistic,23,1287,6.024119203997543,0
plan_execute,pessimistic,24,1067,6.596485997997661,0
plan_execute,pessimistic,25,1098,5.286977089002903,0
plan_execute,pessimistic,26,988,4.678989480999007,0
plan_execute,pessimistic,27,1282,5.685881948000315,0
plan_execute,pessimistic,28,1081,5.90248029400027,2
plan_execute,pessimistic,29,931,5.286754398999619,0
plan_execute,ssi,0,1116,4.869349399999919,0
plan_execute,ssi,1,1014,5.082138211000711,0
plan_execute,ssi,2,1086,5.919902190998982,0
plan_execute,ssi,3,1187,5.8779201340003056,0
plan_execute,ssi,4,1383,6.721735425002407,0
plan_execute,ssi,5,1195,5.546087055998214,0
plan_execute,ssi,6,1039,4.818666991999635,0
plan_execute,ssi,7,1193,5.179050503000326,0
plan_execute,ssi,8,1174,5.58926214299936,0
plan_execute,ssi,9,1210,7.951497870999447,0
plan_execute,ssi,10,1233,6.719596344999445,0
plan_execute,ssi,11,1136,6.102836944999581,0
plan_execute,ssi,12,1019,6.31514040500042,0
plan_execute,ssi,13,930,5.2767873400007375,0
plan_execute,ssi,14,1270,8.154425837001327,0
plan_execute,ssi,15,1302,7.596537359000649,0
plan_execute,ssi,16,1268,20.22343717699914,0
plan_execute,ssi,17,1199,12.201445078000688,0
plan_execute,ssi,18,1231,5.296415222997894,0
plan_execute,ssi,19,986,5.065821141000924,0
plan_execute,ssi,20,1469,7.336252991000947,0
plan_execute,ssi,21,1347,5.354181124999741,0
plan_execute,ssi,22,1365,6.235373184001219,0
plan_execute,ssi,23,1190,6.380724985996494,0
plan_execute,ssi,24,1459,9.724629190000996,0
plan_execute,ssi,25,1121,5.080140580997977,0
plan_execute,ssi,26,1088,4.522008802003256,0
plan_execute,ssi,27,1257,5.4288797349981905,0
plan_execute,ssi,28,1209,5.852884496001934,0
plan_execute,ssi,29,1242,6.326824204999866,0
triage,vanilla,0,688,5.1193011949981155,0
triage,vanilla,1,715,4.457059238997317,0
triage,vanilla,2,817,4.465621581999585,0
triage,vanilla,3,747,5.083225591999508,0
triage,vanilla,4,694,4.5317139709986805,0
triage,vanilla,5,660,4.195698841998819,0
triage,vanilla,6,714,4.7575991110024916,0
triage,vanilla,7,818,5.684578804997727,0
triage,vanilla,8,714,3.768483001000277,0
triage,vanilla,9,762,5.695614732998365,0
triage,vanilla,10,682,4.260637684998073,0
triage,vanilla,11,820,5.287771047998831,0
triage,vanilla,12,758,5.901808411999809,0
triage,vanilla,13,830,5.489213400000153,0
triage,vanilla,14,712,4.46502085800239,0
triage,vanilla,15,662,3.85298095500184,0
triage,vanilla,16,678,4.609836670002551,0
triage,vanilla,17,716,4.47791846799737,0
triage,vanilla,18,779,4.4417943619992,0
triage,vanilla,19,760,6.548989361999702,0
triage,vanilla,20,796,5.312024318998738,0
triage,vanilla,21,706,4.442690203999518,0
triage,vanilla,22,710,3.5676073220020044,0
triage,vanilla,23,756,5.391847285998665,0
triage,vanilla,24,745,5.645012092998513,0
triage,vanilla,25,768,4.724195929000416,0
triage,vanilla,26,694,4.2365390849990945,0
triage,vanilla,27,775,5.105836696999177,0
triage,vanilla,28,702,3.6671699920007086,0
triage,vanilla,29,819,5.079276791999291,0
triage,pessimistic,0,704,4.857583697001246,0
triage,pessimistic,1,731,8.690840179999213,1
triage,pessimistic,2,979,7.20896977600205,2
triage,pessimistic,3,700,3.8282541199987463,0
triage,pessimistic,4,763,5.193051623002248,1
triage,pessimistic,5,680,4.830764267000632,0
triage,pessimistic,6,925,4.950368989000708,0
triage,pessimistic,7,936,4.841529820001597,1
triage,pessimistic,8,680,4.1792403500003275,0
triage,pessimistic,9,759,4.66643271400244,1
triage,pessimistic,10,865,5.080546735000098,0
triage,pessimistic,11,718,5.0679027369988034,0
triage,pessimistic,12,712,4.9491108449983585,0
triage,pessimistic,13,765,4.2592007300008845,0
triage,pessimistic,14,814,5.76896150399989,1
triage,pessimistic,15,939,6.104797813000914,1
triage,pessimistic,16,782,4.575336514997616,0
triage,pessimistic,17,851,5.4453458310017595,0
triage,pessimistic,18,694,4.169175194001582,1
triage,pessimistic,19,766,4.762466135998693,0
triage,pessimistic,20,734,4.260645842998201,0
triage,pessimistic,21,694,5.284638697998162,1
triage,pessimistic,22,991,5.3563225280013285,2
triage,pessimistic,23,760,5.4226136280012724,0
triage,pessimistic,24,718,4.588616875000298,0
triage,pessimistic,25,796,4.956407505000243,0
triage,pessimistic,26,788,4.790644840999448,0
triage,pessimistic,27,773,4.769020767998882,0
triage,pessimistic,28,697,6.095356298999832,2
triage,pessimistic,29,716,4.764347483000165,0
triage,ssi,0,738,5.701779129998613,0
triage,ssi,1,899,5.182890448002581,0
triage,ssi,2,688,4.074819999997999,0
triage,ssi,3,688,4.119254833000014,0
triage,ssi,4,757,6.428764651001984,0
triage,ssi,5,761,6.103907371998503,0
triage,ssi,6,875,4.2640124750032555,0
triage,ssi,7,718,4.949929569000233,0
triage,ssi,8,761,6.418631631000608,0
triage,ssi,9,700,4.483083015999,0
triage,ssi,10,855,5.6710076430026675,0
triage,ssi,11,682,4.615877996999188,0
triage,ssi,12,767,4.6466506169999775,0
triage,ssi,13,809,5.945870352999918,0
triage,ssi,14,968,5.74018400299974,1
triage,ssi,15,877,5.2805652739989455,0
triage,ssi,16,712,22.897326047001116,0
triage,ssi,17,847,5.6931825450010365,0
triage,ssi,18,668,4.3006124240018835,0
triage,ssi,19,798,4.91918780800188,0
triage,ssi,20,765,5.603658033000102,0
triage,ssi,21,760,5.080065269001352,0
triage,ssi,22,710,5.079616523998993,0
triage,ssi,23,768,5.018503355997382,0
triage,ssi,24,698,5.029182600002969,0
triage,ssi,25,742,3.966393181002786,0
triage,ssi,26,761,4.8750460390001535,0
triage,ssi,27,737,4.642943162998563,0
triage,ssi,28,859,5.30864532400301,0
triage,ssi,29,769,6.278937815997779,0
